Genre,Poem
Environment,"I wandered lonely as a Cloud   That floats on high o'er Vales and Hills,When all at once I saw a crowd,   A host of golden Daffodils;Beside the Lake, beneath the trees,Fluttering and dancing in the breeze.Continuous as the stars that shine   And twinkle on the Milky Way,They stretched in never-ending line   Along the margin"
Environment,"I will arise and go now, and go to Innisfree, And a small cabin build there, of clay and wattles made: Nine bean-rows will I have there, a hive for the honey-bee; And live alone in the bee-loud glade.And I shall have some peace there, for peace comes dropping slow, Dropping from the veils"
Environment,"Is this a time to be cloudy and sad, When our mother Nature laughs around; When even the deep blue heavens look glad, And gladness breathes from the blossoming ground?There are notes of joy from the hang-bird and wren, And the gossip of swallows through all the sky; The ground-squirrel gaily chirps by his den, And"
Environment,"Just like as in a nest of boxes round, Degrees of sizes in each box are found: So, in this world, may many others be Thinner and less, and less still by degree: Although they are not subject to our sense, A world may be no bigger than two-pence. Nature is curious, and such works may"
Environment,Love me stupid. Love me terrible. And when I am no mountain but rather a monsoon of imperfect thunder love me. When I am blue in my face from swallowing myself yet wearing my best heart even if my best heart is a century of hunger an angry mule breathing hard or perhaps even hopeful. A small sun. Little & bright.
Environment,"Lovely the moonlight was as it glanced and gleamed on the water,Gleamed on the columns of cypress and cedar sustaining the arches,Down through whose broken vaults it fell as through chinks in a ruin.Dreamlike, and indistinct, and strange were all things around them;And o'er their spirits"
Environment,"My heart leaps up when I behold A rainbow in the sky: So was it when my life began;So is it now I am a man;So be it when I shall grow old, Or let me die! The Child is father of the Man; And"
Environment,"O wild West Wind, thou breath of Autumn's being, Thou, from whose unseen presence the leaves dead Are driven, like ghosts from an enchanter fleeing,Yellow, and black, and pale, and hectic red, Pestilence-stricken multitudes: O thou, Who chariotest to their dark wintry bedThe wingèd seeds, where they lie cold and low, Each like a corpse"
Environment,Still turnstiles framed by a window the red alders of Willapa Bay [
Environment,"Though neither you nor I saw flowering pistachio treesin the Hanging Gardens of Babylon, though neitheryou nor I saw the Tigris River stained with ink,though we never heard a pistachio shell dehisce,we have taken turns holding a panda as it munchedon bamboo leaves, and I know that rustle now.I have"
Environment,"To pick a tulip from the garden, the red one. To put it on the desk In the small blue vase, here. No, Here.To incline toward it then, as if the flower could teach me something Of its art.Of my own art. When did we forget"
Environment,"We are as clouds that veil the midnight moon; How restlessly they speed, and gleam, and quiver, Streaking the darkness radiantly!—yet soon Night closes round, and they are lost for ever:Or like forgotten lyres, whose dissonant strings Give various response to each varying blast, To whose frail frame no"
Environment,"When pulled, the spider web took another form.The bull’s-eye relaxed, the bull unseen but felt,skull on muscle paused on the forest floor.The girl said oh, as she had heard her mothersay before. The spider had already hiddenin the labyrinth of a tree. The city ranon coal and gasoline as it"
Environment,Whose woods these are I think I know. His house is in the village though
Environment,"you can make the maples blazejust by stopping to look,you can set your clock to the barksof geese. Somewhere the grandfatherswho own this town lean down to ironcrisp blue shirts, their faces bathingin steam, and blackbirdsclamor in packs,make plans behind corn."
