Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Type,Outlet_Size,Outlet_Location_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
NCS41,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,12.85,0.053527105,185.1608,1999,2388.8904
FDM13,Low Fat,Breakfast,OUT013,Supermarket Type1,High,Tier 3,6.425,0.063122753,131.3626,1987,262.3252
FDQ56,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,6.59,0.105597316,83.4908,1997,1342.2528
FDW55,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.021863506,247.0092,1985,5478.2024
NCT29,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.063800266,123.0414,1985,4629.9732
FDL40,Low Fat,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,17.7,0.011660463,96.541,2009,2220.443
FDD47,Regular,Starchy Foods,OUT046,Supermarket Type1,Small,Tier 1,7.6,0.142410775,171.9448,1997,3749.7856
DRE03,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,19.6,0.024226902,48.7718,1997,236.359
NCM18,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.082440705,61.3194,1985,2043.3402
FDE20,Regular,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,11.35,0.005530516,171.179,1997,4923.591
NCT06,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,17.1,0.038705317,165.0842,1987,2320.9788
FDY24,Regular,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,4.88,0,53.1298,2004,808.947
FDJ55,Regular,Meat,OUT018,Supermarket Type2,Medium,Tier 3,12.8,0.023626808,223.2404,2009,2475.4444
FDE45,Low Fat,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.070660449,180.4002,1985,716.4008
FDD44,Regular,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,8.05,0.078719835,258.5646,2009,3091.9752
FDD10,reg,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,20.6,0.046208155,178.0344,2009,1605.9096
FDA39,Low Fat,Meat,OUT018,Supermarket Type2,Medium,Tier 3,6.32,0.012769753,39.9822,2009,78.5644
FDB36,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,5.465,0.048486801,131.2626,1987,3410.2276
FDJ36,Regular,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,14.5,0.128459481,102.0332,1999,2050.664
NCB55,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,15.7,0.161317495,57.5562,2009,829.5868
FDX27,reg,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,20.7,0.114294512,94.9436,1999,1229.0668
FDB08,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,6.055,0.031103357,159.9578,1997,2727.7826
FDX43,LF,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,5.655,0.085274988,165.05,1997,2330.3
FDA20,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,6.78,0.066892471,186.424,2009,1304.968
FDC04,Low Fat,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.078764059,241.3854,1985,483.3708
FDP24,Low Fat,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.082602127,120.9756,1985,3877.6192
FDB08,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,6.055,0.031230059,160.3578,2009,1765.0358
FDL09,Regular,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.22417463,168.8816,1985,167.7816
DRK49,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,14.15,0.035943717,40.5138,1997,446.7518
FDR37,Regular,Breakfast,OUT013,Supermarket Type1,High,Tier 3,16.5,0.06619442,184.4292,1987,3101.2964
FDG56,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,13.3,0.071439051,61.0536,2004,1898.8616
FDE34,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,9.195,0.108059141,181.7634,1999,6179.9556
FDE16,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.026216144,207.5954,1985,6668.6528
FDT58,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,9,0.085938463,168.6816,2004,1342.2528
FDR03,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,15.7,0.008734284,207.898,2004,3095.97
NCL30,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,18.1,0.049016517,128.7336,1999,2173.1712
FDT22,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.111554381,59.822,1985,1677.816
FDP45,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,15.7,0.030672457,253.1724,1999,5285.1204
FDS15,Regular,Meat,OUT013,Supermarket Type1,High,Tier 3,9.195,0.077995641,107.1596,1987,2804.3496
FDF16,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.085715273,146.6076,1985,1773.6912
NCV30,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,20.2,0.066200667,61.451,2009,126.502
FDG33,Regular,Seafood,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.245542627,172.2764,1985,171.7764
FDO10,reg,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,13.65,0.0127517,55.5588,1997,1603.2464
FDQ03,Regular,Meat,OUT013,Supermarket Type1,High,Tier 3,15,0.077949334,238.7248,1987,2133.2232
NCC55,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,10.695,0.064022881,36.0848,2009,372.848
FDD52,Regular,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.182407266,109.157,1985,1867.569
FDI16,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,14,0.136328794,54.864,2009,319.584
FDB44,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,6.655,0.016958832,210.0586,1997,4221.172
FDA25,Regular,Canned,OUT046,Supermarket Type1,Small,Tier 1,16.5,0.068125756,101.199,1997,1031.99
FDV33,Regular,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,9.6,0.02734361,257.8304,1997,1808.3128
FDX47,Regular,Breads,OUT049,Supermarket Type1,Medium,Tier 1,6.55,0.034658144,155.8288,1999,1099.9016
FDV57,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,15.25,0.065841719,179.866,1987,2696.49
FDB02,Regular,Canned,OUT035,Supermarket Type1,Small,Tier 2,9.695,0.029158763,174.537,2004,1235.059
FDD16,Low Fat,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.063649582,74.7696,1985,74.5696
FDX02,LF,Dairy,OUT046,Supermarket Type1,Small,Tier 1,16,0.05706009,225.0404,1997,4950.8888
FDH32,Low Fat,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.075691713,98.241,1985,2220.443
NCL18,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,18.85,0.167844438,193.9136,1999,3110.6176
FDD50,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.14095631,167.7132,1985,3889.6036
NCU05,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,11.8,0.058827557,80.8618,1999,1288.9888
FDI56,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,7.325,0.093765794,90.3146,2009,1733.0774
DRL11,Low Fat,Hard Drinks,OUT049,Supermarket Type1,Medium,Tier 1,10.5,0.048092816,159.2946,1999,1893.5352
FDW20,Low Fat,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.024032484,124.973,1985,2463.46
FDO09,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,13.5,0.125469442,264.491,1999,6574.775
DRJ49,Low Fat,Soft Drinks,OUT018,Supermarket Type2,Medium,Tier 3,6.865,0.01405025,128.9652,2009,1679.1476
FDP26,Low Fat,Dairy,OUT013,Supermarket Type1,High,Tier 3,7.785,0.139436695,103.0306,1987,2404.2038
FDO19,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,17.7,0.016593506,46.9034,2004,972.068
FDG02,Low Fat,Canned,OUT046,Supermarket Type1,Small,Tier 1,7.855,0.011261165,189.5188,1997,1904.188
FDO32,Low Fat,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,6.36,0.120520818,45.906,2004,419.454
FDR34,Regular,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,17,0.015965308,229.4352,1997,4809.7392
FDU59,Low Fat,Breads,OUT046,Supermarket Type1,Small,Tier 1,5.78,0.096386227,163.5552,1997,1787.0072
FDT55,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.043443753,158.1946,1985,6942.9624
FDE08,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,18.2,0.049520593,147.3734,2009,2375.5744
FDK52,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,18.25,0.079152918,223.8062,1987,4288.4178
FDW11,Low Fat,Breads,OUT013,Supermarket Type1,High,Tier 3,12.6,0.048741487,60.4194,1987,990.7104
FDC03,reg,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,8.575,0.071958197,195.3794,1999,3511.4292
FDR43,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,18.2,0.162147349,37.719,2009,549.285
FDG29,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.056019324,40.0454,1985,419.454
DRH15,Low Fat,Dairy,OUT046,Supermarket Type1,Small,Tier 1,8.775,0.109911272,41.9428,1997,1537.998
FDT11,Regular,Breads,OUT035,Supermarket Type1,Small,Tier 2,5.94,0.029366813,187.7556,2004,3755.112
FDU48,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,18.85,0.055347985,131.5284,2004,1581.9408
FDY12,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,9.8,0,49.2008,1987,657.8104
NCP06,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,20.7,0.039405676,149.8366,2009,2267.049
DRH23,Low Fat,Hard Drinks,OUT013,Supermarket Type1,High,Tier 3,14.65,0.170176516,55.2614,1987,718.3982
FDA16,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.033777629,222.8456,1985,7073.4592
FDT45,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,15.85,0.057546914,55.8956,2009,491.3604
FDA39,Low Fat,Meat,OUT046,Supermarket Type1,Small,Tier 1,6.32,0.012717946,40.2822,1997,628.5152
NCB19,LF,Household,OUT035,Supermarket Type1,Small,Tier 2,6.525,0.090278634,86.7882,2004,1975.4286
FDZ34,Low Fat,Starchy Foods,OUT013,Supermarket Type1,High,Tier 3,6.695,0,191.882,1987,3861.64
FDO40,Low Fat,Frozen Foods,OUT049,Supermarket Type1,Medium,Tier 1,17.1,0.032678839,150.7392,1999,3131.9232
FDD21,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,10.3,0,115.0176,1987,4122.6336
FDO36,Low Fat,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,19.7,0.077849003,179.166,1987,3056.022
FDV34,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,10.695,0.011443222,73.5038,1999,1478.076
NCM54,LF,Household,OUT018,Supermarket Type2,Medium,Tier 3,17.7,0.051146565,127.3678,2009,3306.3628
FDB59,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,18.25,0.015302653,198.0084,1999,793.6336
FDV24,Low Fat,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,5.635,0,148.705,1999,1198.44
FDQ39,Low Fat,Meat,OUT018,Supermarket Type2,Medium,Tier 3,14.8,0.081372267,191.4846,2009,3057.3536
FDD52,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,18.25,0.18329488,111.657,1997,1537.998
FDL39,Regular,Dairy,OUT018,Supermarket Type2,Medium,Tier 3,16.1,0.06358934,179.4318,2009,360.8636
FDV02,Low Fat,Dairy,OUT018,Supermarket Type2,Medium,Tier 3,16.75,0.060792265,170.4106,2009,513.3318
FDE11,Regular,Starchy Foods,OUT046,Supermarket Type1,Small,Tier 1,17.7,0,184.3924,1997,4257.1252
NCU54,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,8.88,0.098775709,208.927,1999,7130.718
FDD51,low fat,Dairy,OUT013,Supermarket Type1,High,Tier 3,11.15,0.119852889,44.9744,1987,498.0184
NCS06,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,7.935,0.031710329,263.091,1987,5522.811
FDQ55,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,13.65,0.013035609,114.7834,2004,3455.502
FDL52,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,6.635,0.046277956,36.7506,2009,75.9012
NCO30,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,19.5,0.01572192,185.6608,2004,918.804
FDA33,LF,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,6.48,0.033952603,148.2076,1999,3399.5748
FDB12,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,11.15,0.105220024,102.7648,1987,1142.5128
FDT40,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,5.985,0.095715608,125.8678,1987,3560.6984
FDR32,Regular,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,6.78,0,227.5694,1999,3653.9104
FDM04,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,9.195,0.04731256,50.7666,2009,512.666
DRL01,Regular,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,19.5,0.077108099,232.8958,1987,5608.6992
FDQ56,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,6.59,0.106027474,83.9908,2009,1426.1436
FDH08,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,7.51,0.01742908,229.601,1997,6201.927
NCQ06,Low Fat,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.073229342,254.1014,1985,255.0014
FDG16,Low Fat,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.157257637,215.0192,1985,1078.596
FDZ40,Low Fat,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.039988162,55.7298,1985,1024.6662
FDY51,Low Fat,Meat,OUT035,Supermarket Type1,Small,Tier 2,12.5,0.081119484,220.0798,2004,1322.2788
NCN41,Low Fat,Health and Hygiene,OUT018,Supermarket Type2,Medium,Tier 3,17,0.052421981,123.773,2009,1231.73
NCM17,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.070791391,46.4086,1985,2007.387
FDZ08,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,12.5,0.109971578,82.7592,2004,577.9144
FDU03,Regular,Meat,OUT018,Supermarket Type2,Medium,Tier 3,18.7,0.091950972,184.2292,2009,1277.0044
FDZ49,Regular,Canned,OUT046,Supermarket Type1,Small,Tier 1,11,0.133145617,218.4798,1997,2203.798
NCX30,LF,Household,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.046609281,248.6776,1985,495.3552
FDB15,Low Fat,Dairy,OUT013,Supermarket Type1,High,Tier 3,10.895,0.136696892,264.5568,1987,5536.7928
FDY49,Regular,Canned,OUT013,Supermarket Type1,High,Tier 3,17.2,0.012002075,165.3184,1987,990.7104
FDH40,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.6,0.079251097,79.2276,2009,649.8208
FDL12,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.121043709,59.422,1985,1078.596
FDW11,Low Fat,Breads,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.048545853,60.1194,1985,1114.5492
NCE06,LF,Household,OUT035,Supermarket Type1,Small,Tier 2,5.825,0.091467933,159.7894,2004,1294.3152
FDF32,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,16.35,0,196.3426,2009,1384.1982
DRI47,Low Fat,Hard Drinks,OUT035,Supermarket Type1,Small,Tier 2,14.7,0.020916223,141.8128,2004,1869.5664
DRA12,LF,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,11.6,0,141.9154,2004,992.7078
FDX45,Low Fat,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,16.75,0.104768536,155.163,1987,2972.797
FDR35,Low Fat,Breads,OUT013,Supermarket Type1,High,Tier 3,12.5,0.020680499,197.2742,1987,2587.9646
NCJ18,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,12.35,0.163805509,117.6124,1987,3910.9092
FDZ59,Regular,Baking Goods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.182128363,165.65,1985,665.8
FDB57,Regular,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.01871404,223.4772,1985,7116.0704
DRP35,Low Fat,Hard Drinks,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.159096908,129.3336,1985,127.8336
FDZ59,Regular,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,6.63,0.103935018,166.85,1987,5326.4
FDU58,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,6.61,0.029129907,188.4898,2009,4677.245
FDL09,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,19.6,0.128011859,166.8816,2004,1845.5976
FDI46,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.073985248,252.5724,1985,3271.7412
DRC25,Low Fat,Soft Drinks,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.079440262,86.7882,1985,85.8882
FDP25,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.02110482,217.0824,1985,6769.8544
FDQ09,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,7.235,0.058222587,114.8834,1999,3340.3186
NCY05,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.054723717,36.6874,1985,1058.622
FDA20,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,6.78,0.066724663,187.724,1999,1491.392
NCG07,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,12.3,0.052458358,188.753,1987,3795.06
FDR46,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,16.85,0.139985583,145.276,2009,2490.092
FDP22,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,14.65,0.099286298,49.8666,1999,563.9326
FDL45,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,15.6,0.037680711,123.7704,2004,3129.26
NCF42,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,17.35,0.168064909,176.2712,2009,1230.3984
FDD04,Low Fat,Dairy,OUT049,Supermarket Type1,Medium,Tier 1,16,0.090111173,141.3154,1999,3261.7542
FDC45,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,17,0.136286138,170.9106,2009,1197.7742
FDQ11,Regular,Breads,OUT046,Supermarket Type1,Small,Tier 1,5.695,0.067700925,256.5988,1997,2055.9904
DRM48,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,15.2,0.112896669,36.0848,1997,1193.1136
FDS12,Low Fat,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,9.1,0.173973652,126.5362,1987,1761.7068
FDQ52,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,17,0.119285634,247.4434,1987,2980.1208
FDE32,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,20.7,0.04875891,37.3506,1997,834.9132
FDJ58,Regular,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,15.6,0.105276162,173.2764,2004,3779.0808
NCM18,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,13,0.082970667,60.0194,1999,1114.5492
FDT26,Regular,Dairy,OUT046,Supermarket Type1,Small,Tier 1,18.85,0.067953506,119.044,1997,2396.88
DRD60,Low Fat,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,15.7,0.03722507,182.4634,2004,1999.3974
NCR18,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,15.85,0.020487625,44.0112,1997,468.7232
FDO27,Regular,Meat,OUT046,Supermarket Type1,Small,Tier 1,6.175,0.179077475,94.3752,1997,1342.2528
FDP25,low fat,Canned,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.037131628,216.4824,1985,218.3824
FDQ51,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,16,0.017547958,48.3718,2004,614.5334
FDO09,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,13.5,0.125170423,261.491,1987,3418.883
FDP38,Low Fat,Canned,OUT049,Supermarket Type1,Medium,Tier 1,10.1,0.032152004,50.6008,1999,404.8064
FDJ55,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,12.8,0.023526504,223.5404,2004,5626.01
NCF06,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,6.235,0.020229757,260.8962,1999,5956.9126
NCL05,Low Fat,Health and Hygiene,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.083862625,44.077,1985,216.385
FDT24,reg,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,12.35,0.18614827,78.2328,1999,1158.492
FDU55,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,16.2,0.036057562,260.3278,2009,2342.9502
FDS11,Regular,Breads,OUT046,Supermarket Type1,Small,Tier 1,7.05,0.055558509,224.7088,1997,3131.9232
FDC28,Low Fat,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0,109.9254,1985,108.5254
FDR59,Regular,Breads,OUT046,Supermarket Type1,Small,Tier 1,14.5,0.063863551,262.3594,1997,4448.2098
FDP19,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,11.5,0,128.4652,1999,2841.6344
DRN47,Low Fat,Hard Drinks,OUT049,Supermarket Type1,Medium,Tier 1,12.1,0.016852909,180.666,1999,2876.256
FDJ34,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.8,0.094037241,124.5704,2009,1001.3632
FDX21,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,7.05,0.085312137,107.4912,2009,982.7208
FDI57,Low Fat,Seafood,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.053764023,195.7768,1985,3547.3824
NCI42,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,18.75,0.010365546,207.0954,1997,3125.931
FDX37,Low Fat,Canned,OUT013,Supermarket Type1,High,Tier 3,16.2,0,100.57,1987,1398.18
FDW57,reg,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,8.31,0.116148596,176.0028,2009,4427.57
FDD09,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,13.5,0.021496403,180.5976,1997,3078.6592
FDM09,Regular,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,11.15,0.085931544,169.679,1997,1018.674
NCW54,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,7.5,0.096806008,56.2588,2009,687.1056
DRL11,low fat,Hard Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.04778563,156.5946,1985,3787.0704
FDJ58,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,15.6,0.105725004,169.9764,2009,2748.4224
FDX21,Low Fat,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.148764535,111.1912,1985,109.1912
FDL34,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,16,0.040938155,141.1496,2004,4516.7872
FDL38,Regular,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.014661762,89.1172,1985,2319.6472
DRL11,LF,Hard Drinks,OUT018,Supermarket Type2,Medium,Tier 3,10.5,0.048213766,159.6946,2009,3629.2758
FDO40,Low Fat,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,17.1,0.032761024,148.8392,2009,2087.9488
FDM52,Low Fat,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,15.1,0.025988508,146.6076,2004,2364.9216
FDV49,low fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,10,0.025932408,264.7226,2009,3171.8712
FDF56,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,16.7,0.119439636,182.1976,2004,724.3904
FDY09,Low Fat,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.044122209,173.8054,1985,175.1054
FDY55,Low Fat,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,16.75,0.081304829,258.4988,2004,4111.9808
FDU36,Low Fat,Baking Goods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.081014461,98.8384,1985,492.692
NCR06,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,12.5,0.006775667,42.9112,1999,1022.6688
FDW24,Low Fat,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,6.8,0.03749705,49.9034,1997,194.4136
FDF16,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,7.3,0.086060695,149.8076,1987,2808.3444
NCR18,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,15.85,0.020519478,42.5112,1999,852.224
DRD01,Regular,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,12.1,0.061163967,56.5614,2004,828.921
FDT19,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,7.59,0.14492016,174.708,1987,2942.836
FDE59,Low Fat,Starchy Foods,OUT013,Supermarket Type1,High,Tier 3,12.15,0.062235983,34.5532,1987,359.532
NCV17,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,18.85,0.016104504,130.2626,2004,2360.9268
FDC17,LF,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,12.15,0.01544786,211.2928,1987,2735.1064
FDI45,Low Fat,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,13.1,0.037574137,174.2054,2004,3677.2134
FDZ33,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.106876976,146.7076,1985,3842.9976
FDJ56,Low Fat,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.32111501,100.77,1985,199.74
FDN25,Regular,Breakfast,OUT013,Supermarket Type1,High,Tier 3,7.895,0.061124626,58.5588,1987,171.7764
FDC10,Regular,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.127599399,118.9098,1985,120.5098
FDQ22,Low Fat,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,16.75,0.029785889,38.9822,1999,628.5152
NCR54,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,16.35,0,198.211,2004,2946.165
