GPA,Core_Subject_Score,Academic_Consistency,Research_Participation,Programming_Skill,Domain_Knowledge,Tool_Proficiency,Certification_Count,Internship_Count,Internship_Duration,Industry_Relevance,Project_Experience,Communication_Skill,Teamwork_Ability,Leadership_Potential,Adaptability,Learning_Motivation,Career_Clarity,Market_Awareness,Higher_Study_Interest,Target_Industry_Code,Workshop_Participation,Online_Course_Hours,Networking_Activity,Learning_Path_Generation_Time,Employment_Competitiveness_Score
9.74,60.0,0.64,0.0,81.0,94.0,80.0,1.0,3.0,11.2,0.32,7.0,50.0,64.0,73.0,61.0,63.0,39.0,90.0,1.0,2.0,4.0,138.9,79.0,7.62,62.63
6.95,63.0,1.01,0.0,56.0,81.0,34.0,3.0,4.0,9.1,0.26,3.0,81.0,46.0,99.0,77.0,62.0,53.0,86.0,1.0,5.0,2.0,219.0,53.0,11.24,37.53
7.83,93.0,1.22,0.0,84.0,57.0,42.0,2.0,,14.7,0.04,4.0,41.0,80.0,94.0,95.0,93.0,88.0,37.0,1.0,5.0,2.0,207.7,20.0,2.39,
8.66,85.0,1.44,0.0,52.0,63.0,48.0,4.0,2.0,15.5,0.58,7.0,65.0,59.0,54.0,66.0,82.0,60.0,57.0,0.0,4.0,10.0,14.5,67.0,,
7.14,86.0,0.59,1.0,46.0,74.0,41.0,2.0,1.0,11.1,0.23,,43.0,82.0,45.0,60.0,81.0,40.0,51.0,1.0,4.0,4.0,219.7,40.0,1.17,
9.87,66.0,0.78,0.0,66.0,89.0,77.0,2.0,0.0,0.2,0.15,3.0,56.0,66.0,44.0,80.0,68.0,35.0,60.0,0.0,4.0,4.0,23.8,53.0,4.63,32.51
9.83,62.0,1.05,0.0,49.0,62.0,54.0,5.0,2.0,12.5,0.65,5.0,56.0,88.0,32.0,70.0,79.0,99.0,52.0,1.0,4.0,11.0,103.8,45.0,,
6.63,62.0,2.44,0.0,73.0,58.0,86.0,1.0,2.0,7.5,0.68,6.0,67.0,94.0,96.0,66.0,65.0,61.0,80.0,0.0,3.0,8.0,191.4,,2.66,
7.74,82.0,1.16,,75.0,80.0,64.0,0.0,4.0,10.2,0.75,3.0,,76.0,66.0,76.0,61.0,68.0,65.0,0.0,7.0,0.0,20.4,42.0,11.25,
6.85,74.0,,0.0,64.0,80.0,34.0,2.0,3.0,11.7,0.5,4.0,79.0,64.0,84.0,41.0,59.0,77.0,43.0,0.0,4.0,0.0,10.1,66.0,7.52,
6.78,61.0,0.89,0.0,45.0,64.0,51.0,3.0,0.0,6.3,0.89,2.0,62.0,80.0,67.0,93.0,51.0,42.0,69.0,0.0,4.0,10.0,82.5,95.0,10.76,20.65
5.67,65.0,1.72,0.0,63.0,96.0,86.0,0.0,2.0,16.5,0.94,4.0,85.0,77.0,92.0,86.0,67.0,88.0,94.0,0.0,4.0,8.0,182.5,63.0,5.6,63.17
8.24,74.0,1.06,0.0,57.0,,76.0,3.0,4.0,2.4,0.81,1.0,63.0,59.0,30.0,48.0,62.0,96.0,97.0,0.0,2.0,4.0,130.4,39.0,7.37,
7.76,70.0,0.91,1.0,62.0,89.0,83.0,3.0,0.0,12.1,0.64,7.0,68.0,94.0,48.0,58.0,78.0,85.0,86.0,0.0,6.0,3.0,104.3,46.0,0.87,62.32
5.73,58.0,1.53,1.0,45.0,88.0,32.0,0.0,3.0,0.1,0.3,6.0,43.0,90.0,81.0,81.0,73.0,70.0,82.0,0.0,4.0,1.0,203.3,80.0,5.9,20.89
6.75,60.0,0.51,0.0,68.0,51.0,82.0,0.0,2.0,16.6,0.98,,77.0,47.0,59.0,,87.0,85.0,95.0,0.0,1.0,11.0,191.7,56.0,6.99,
9.59,,0.52,0.0,64.0,88.0,60.0,3.0,2.0,2.0,0.27,3.0,68.0,73.0,84.0,49.0,61.0,64.0,58.0,0.0,4.0,8.0,196.5,71.0,0.69,
6.58,80.0,0.94,1.0,94.0,97.0,98.0,1.0,2.0,1.7,0.2,3.0,58.0,91.0,43.0,98.0,78.0,67.0,92.0,1.0,4.0,5.0,114.9,94.0,9.58,63.23
6.15,57.0,0.57,1.0,56.0,48.0,62.0,4.0,0.0,6.0,0.44,4.0,66.0,71.0,42.0,79.0,71.0,96.0,98.0,0.0,3.0,8.0,4.9,81.0,3.9,28.83
7.7,68.0,0.72,0.0,85.0,78.0,79.0,5.0,0.0,6.7,0.06,4.0,68.0,49.0,56.0,93.0,85.0,63.0,64.0,0.0,6.0,4.0,43.0,85.0,5.7,53.7
9.94,65.0,1.18,1.0,63.0,46.0,45.0,4.0,0.0,3.9,0.98,5.0,95.0,75.0,38.0,84.0,50.0,99.0,63.0,0.0,4.0,3.0,185.3,43.0,6.66,45.59
6.59,72.0,2.11,0.0,50.0,49.0,68.0,1.0,0.0,10.5,0.59,,75.0,66.0,70.0,78.0,92.0,40.0,44.0,0.0,6.0,6.0,188.3,99.0,11.91,
8.52,66.0,1.64,1.0,65.0,99.0,75.0,5.0,4.0,8.0,0.56,5.0,74.0,79.0,77.0,46.0,89.0,56.0,73.0,1.0,2.0,4.0,243.1,31.0,1.64,72.12
8.93,77.0,1.53,1.0,90.0,54.0,76.0,0.0,1.0,0.6,0.66,1.0,91.0,98.0,41.0,43.0,83.0,77.0,89.0,0.0,5.0,7.0,47.5,35.0,6.89,45.67
6.57,66.0,1.09,,73.0,76.0,73.0,5.0,4.0,5.8,0.5,5.0,45.0,51.0,,54.0,83.0,53.0,62.0,0.0,6.0,7.0,30.7,55.0,6.6,
8.78,67.0,2.36,1.0,67.0,86.0,38.0,3.0,2.0,14.6,0.03,4.0,98.0,50.0,35.0,51.0,97.0,47.0,52.0,0.0,6.0,1.0,34.7,21.0,1.29,38.32
7.16,79.0,1.29,0.0,42.0,85.0,79.0,4.0,4.0,12.4,0.61,6.0,62.0,70.0,63.0,87.0,82.0,56.0,75.0,1.0,4.0,4.0,46.2,81.0,7.79,63.92
8.35,73.0,,1.0,50.0,57.0,89.0,5.0,3.0,13.0,0.72,5.0,78.0,98.0,81.0,45.0,53.0,83.0,,1.0,7.0,9.0,132.1,83.0,3.8,
8.35,90.0,1.73,0.0,77.0,83.0,44.0,3.0,0.0,12.6,0.42,2.0,85.0,45.0,70.0,99.0,87.0,84.0,80.0,0.0,4.0,7.0,243.8,48.0,1.69,66.83
7.91,62.0,0.73,1.0,53.0,49.0,65.0,1.0,3.0,5.6,0.76,7.0,83.0,63.0,,48.0,79.0,50.0,94.0,0.0,4.0,2.0,147.4,93.0,2.55,
,83.0,1.19,0.0,90.0,54.0,92.0,5.0,3.0,1.8,0.23,0.0,87.0,51.0,31.0,74.0,,88.0,43.0,0.0,3.0,6.0,130.7,50.0,9.97,
9.26,86.0,1.51,0.0,65.0,54.0,98.0,3.0,2.0,4.9,0.22,4.0,91.0,80.0,44.0,47.0,69.0,63.0,79.0,1.0,7.0,2.0,168.3,34.0,1.7,53.86
6.94,72.0,2.25,0.0,87.0,82.0,70.0,1.0,0.0,15.0,0.16,6.0,47.0,56.0,46.0,46.0,75.0,87.0,94.0,0.0,5.0,5.0,18.5,74.0,5.87,37.12
6.34,60.0,1.49,1.0,60.0,71.0,53.0,0.0,3.0,17.6,0.37,3.0,94.0,64.0,45.0,43.0,64.0,77.0,62.0,0.0,3.0,1.0,203.8,52.0,2.75,25.46
5.68,72.0,1.9,1.0,93.0,95.0,78.0,1.0,2.0,8.9,0.85,7.0,41.0,67.0,57.0,97.0,56.0,83.0,37.0,0.0,3.0,5.0,161.7,71.0,2.37,49.49
8.16,73.0,2.49,1.0,95.0,65.0,,1.0,0.0,0.2,0.83,5.0,52.0,69.0,39.0,52.0,56.0,47.0,85.0,0.0,3.0,5.0,42.8,39.0,2.87,
8.55,76.0,0.76,1.0,78.0,52.0,36.0,4.0,1.0,2.5,0.38,4.0,79.0,74.0,39.0,58.0,99.0,32.0,42.0,0.0,7.0,7.0,157.7,92.0,6.17,40.71
5.57,91.0,1.05,0.0,69.0,45.0,33.0,3.0,2.0,5.8,0.59,3.0,96.0,73.0,39.0,46.0,78.0,53.0,93.0,0.0,2.0,4.0,149.1,57.0,3.23,30.74
7.8,86.0,1.29,0.0,98.0,72.0,98.0,5.0,4.0,10.4,0.72,3.0,60.0,75.0,57.0,49.0,72.0,30.0,95.0,0.0,5.0,0.0,16.2,22.0,1.61,68.64
6.52,57.0,1.34,0.0,47.0,93.0,89.0,4.0,0.0,1.4,0.24,1.0,,62.0,53.0,64.0,83.0,35.0,92.0,0.0,2.0,7.0,66.7,73.0,9.72,
8.4,82.0,1.32,,90.0,83.0,84.0,2.0,3.0,17.0,0.17,1.0,91.0,85.0,48.0,83.0,69.0,48.0,46.0,0.0,2.0,11.0,97.7,85.0,6.71,72.69
6.28,64.0,2.32,0.0,59.0,58.0,45.0,1.0,3.0,6.6,0.97,6.0,87.0,63.0,97.0,97.0,64.0,72.0,43.0,0.0,5.0,8.0,61.2,,2.3,
8.61,89.0,1.93,0.0,87.0,65.0,58.0,2.0,4.0,16.4,0.62,4.0,75.0,98.0,85.0,74.0,82.0,37.0,83.0,1.0,2.0,0.0,60.8,26.0,5.92,75.14
7.24,83.0,1.72,0.0,71.0,74.0,52.0,4.0,4.0,14.0,0.98,7.0,87.0,48.0,96.0,97.0,66.0,98.0,51.0,1.0,7.0,4.0,143.2,54.0,1.29,79.04
9.72,69.0,1.12,0.0,61.0,65.0,43.0,3.0,3.0,13.6,0.34,6.0,91.0,,71.0,64.0,69.0,81.0,88.0,1.0,5.0,,117.7,99.0,7.17,
6.12,87.0,2.15,0.0,98.0,93.0,78.0,4.0,0.0,10.9,0.7,4.0,77.0,85.0,41.0,68.0,62.0,76.0,78.0,1.0,6.0,5.0,166.8,79.0,4.41,62.97
7.03,61.0,2.41,0.0,46.0,53.0,62.0,3.0,2.0,11.3,0.22,2.0,66.0,59.0,47.0,95.0,93.0,57.0,66.0,0.0,6.0,3.0,239.1,43.0,1.69,26.06
6.01,66.0,2.14,1.0,48.0,61.0,54.0,3.0,4.0,11.5,0.26,0.0,75.0,,52.0,51.0,73.0,75.0,69.0,0.0,4.0,10.0,,58.0,2.61,
9.66,84.0,0.5,1.0,84.0,49.0,50.0,0.0,4.0,11.3,0.51,0.0,87.0,52.0,35.0,90.0,96.0,33.0,83.0,1.0,3.0,1.0,145.5,31.0,4.48,55.25
9.45,75.0,1.77,1.0,,75.0,46.0,1.0,4.0,10.0,0.32,7.0,,59.0,82.0,86.0,86.0,37.0,88.0,0.0,6.0,4.0,211.9,72.0,9.77,
6.66,85.0,0.6,0.0,68.0,96.0,52.0,4.0,1.0,17.8,0.17,4.0,94.0,59.0,71.0,79.0,56.0,90.0,50.0,0.0,6.0,3.0,158.0,83.0,2.5,62.51
8.47,78.0,1.02,0.0,47.0,84.0,86.0,3.0,0.0,13.2,0.26,1.0,60.0,94.0,95.0,51.0,57.0,46.0,46.0,0.0,2.0,6.0,41.4,23.0,1.76,38.76
9.18,74.0,0.62,1.0,95.0,82.0,87.0,4.0,0.0,14.0,0.04,7.0,52.0,83.0,59.0,91.0,72.0,63.0,42.0,0.0,5.0,5.0,78.7,24.0,6.43,70.04
8.0,91.0,1.71,0.0,93.0,87.0,43.0,4.0,0.0,15.7,0.7,5.0,76.0,66.0,38.0,45.0,63.0,49.0,55.0,1.0,1.0,,183.3,35.0,6.93,
7.88,58.0,1.87,0.0,43.0,63.0,49.0,3.0,0.0,3.9,0.49,6.0,86.0,62.0,71.0,99.0,53.0,63.0,82.0,0.0,2.0,8.0,184.6,46.0,1.54,29.78
6.59,82.0,0.73,0.0,74.0,80.0,59.0,,0.0,1.5,0.09,2.0,65.0,60.0,63.0,49.0,70.0,72.0,42.0,1.0,2.0,3.0,246.8,23.0,3.77,
5.92,74.0,1.27,0.0,98.0,94.0,48.0,2.0,3.0,8.7,0.17,0.0,79.0,46.0,69.0,41.0,95.0,39.0,62.0,0.0,7.0,10.0,156.7,91.0,3.52,42.18
9.54,78.0,1.41,0.0,42.0,77.0,82.0,1.0,4.0,9.3,0.1,4.0,46.0,80.0,46.0,,59.0,59.0,44.0,0.0,5.0,4.0,224.9,67.0,2.64,
,86.0,1.24,0.0,93.0,57.0,,1.0,3.0,14.9,0.61,1.0,85.0,64.0,58.0,84.0,71.0,54.0,86.0,0.0,1.0,2.0,13.6,,4.13,
8.35,90.0,0.74,0.0,84.0,58.0,52.0,5.0,1.0,8.0,0.09,1.0,78.0,60.0,79.0,64.0,79.0,86.0,49.0,0.0,1.0,7.0,141.6,65.0,0.93,58.66
7.03,88.0,,0.0,79.0,77.0,91.0,0.0,2.0,10.3,0.75,1.0,61.0,47.0,78.0,46.0,,92.0,38.0,1.0,4.0,10.0,230.0,63.0,7.99,
7.07,90.0,2.0,0.0,46.0,73.0,62.0,5.0,,9.5,0.02,6.0,78.0,74.0,90.0,79.0,65.0,76.0,96.0,0.0,2.0,6.0,71.8,86.0,11.87,
8.77,56.0,0.64,1.0,66.0,87.0,47.0,0.0,1.0,0.7,0.25,5.0,62.0,99.0,75.0,62.0,60.0,32.0,38.0,0.0,7.0,10.0,38.7,71.0,7.79,26.24
9.54,69.0,0.66,0.0,40.0,93.0,62.0,0.0,3.0,11.1,0.89,3.0,97.0,46.0,75.0,87.0,71.0,75.0,75.0,0.0,3.0,10.0,87.6,53.0,4.65,61.63
9.49,88.0,1.21,0.0,66.0,80.0,61.0,5.0,2.0,14.9,0.72,7.0,69.0,,46.0,50.0,,65.0,89.0,0.0,6.0,6.0,198.1,81.0,8.18,
9.01,90.0,2.38,1.0,,88.0,90.0,1.0,1.0,2.8,0.07,6.0,57.0,70.0,95.0,97.0,74.0,55.0,62.0,0.0,2.0,7.0,21.2,40.0,7.07,
8.39,60.0,1.84,0.0,77.0,54.0,83.0,2.0,2.0,10.7,0.82,5.0,81.0,49.0,34.0,75.0,63.0,39.0,81.0,,3.0,6.0,150.1,43.0,10.24,38.08
5.88,93.0,1.86,0.0,46.0,75.0,,1.0,1.0,10.7,0.49,1.0,57.0,46.0,83.0,88.0,63.0,63.0,43.0,0.0,3.0,2.0,33.9,63.0,7.65,
6.23,66.0,1.22,0.0,83.0,50.0,48.0,1.0,3.0,3.0,0.85,4.0,85.0,95.0,45.0,87.0,51.0,37.0,36.0,1.0,5.0,2.0,108.9,60.0,7.79,24.58
9.54,57.0,1.69,0.0,62.0,45.0,99.0,1.0,2.0,2.2,0.6,,49.0,64.0,36.0,90.0,62.0,84.0,82.0,0.0,2.0,1.0,241.5,48.0,3.05,
8.23,72.0,0.52,0.0,80.0,51.0,63.0,5.0,1.0,17.6,0.68,2.0,78.0,78.0,37.0,62.0,52.0,39.0,62.0,0.0,5.0,0.0,,25.0,,
5.54,94.0,1.77,1.0,98.0,71.0,54.0,5.0,3.0,7.1,0.99,5.0,69.0,78.0,67.0,98.0,79.0,86.0,48.0,0.0,4.0,4.0,8.5,75.0,4.46,72.3
5.96,75.0,2.33,0.0,50.0,65.0,97.0,5.0,4.0,4.1,0.23,4.0,65.0,98.0,83.0,82.0,67.0,74.0,80.0,0.0,3.0,11.0,106.8,33.0,0.63,54.4
8.49,69.0,1.73,0.0,81.0,72.0,40.0,,3.0,3.1,0.62,6.0,46.0,99.0,44.0,46.0,85.0,79.0,47.0,1.0,1.0,3.0,144.4,69.0,4.1,
5.52,87.0,2.25,0.0,92.0,60.0,45.0,2.0,3.0,12.0,0.46,6.0,46.0,64.0,79.0,66.0,70.0,93.0,,1.0,,10.0,74.4,97.0,6.09,
6.22,89.0,1.95,0.0,72.0,90.0,90.0,0.0,4.0,11.0,0.04,7.0,44.0,94.0,85.0,52.0,68.0,31.0,74.0,1.0,4.0,1.0,135.4,71.0,7.4,49.47
7.97,80.0,0.74,0.0,89.0,67.0,36.0,4.0,3.0,11.6,0.01,1.0,40.0,69.0,38.0,90.0,65.0,74.0,64.0,1.0,3.0,0.0,238.4,96.0,11.25,47.11
8.61,62.0,2.3,0.0,75.0,96.0,45.0,0.0,4.0,1.6,0.12,2.0,85.0,64.0,37.0,56.0,77.0,91.0,99.0,0.0,5.0,2.0,77.9,20.0,3.25,37.73
8.43,90.0,0.63,0.0,76.0,64.0,45.0,0.0,4.0,16.1,,0.0,57.0,69.0,48.0,71.0,53.0,43.0,92.0,1.0,2.0,5.0,77.4,31.0,2.25,
6.51,84.0,1.57,0.0,80.0,82.0,69.0,4.0,4.0,7.0,0.57,0.0,52.0,97.0,80.0,65.0,64.0,44.0,82.0,1.0,1.0,1.0,120.7,43.0,10.5,50.01
8.7,77.0,0.78,0.0,98.0,,41.0,1.0,1.0,5.6,0.55,6.0,64.0,58.0,,96.0,50.0,43.0,83.0,1.0,5.0,9.0,128.8,56.0,11.33,
6.57,68.0,0.52,0.0,56.0,69.0,64.0,2.0,2.0,8.3,0.03,4.0,79.0,91.0,97.0,99.0,97.0,60.0,36.0,0.0,6.0,6.0,0.3,89.0,6.11,51.45
6.96,68.0,1.34,1.0,74.0,72.0,50.0,2.0,1.0,7.0,0.47,2.0,47.0,88.0,60.0,61.0,96.0,58.0,48.0,0.0,2.0,10.0,154.0,,1.82,
8.86,56.0,1.09,0.0,87.0,49.0,79.0,0.0,4.0,15.5,0.92,4.0,49.0,87.0,32.0,52.0,65.0,56.0,51.0,0.0,1.0,6.0,249.3,22.0,6.08,42.74
8.42,91.0,1.47,0.0,44.0,65.0,72.0,4.0,2.0,16.7,0.4,2.0,71.0,87.0,72.0,51.0,69.0,38.0,65.0,0.0,4.0,10.0,73.0,46.0,1.76,52.29
9.32,59.0,1.65,0.0,87.0,62.0,46.0,3.0,2.0,5.5,0.62,,56.0,83.0,58.0,46.0,82.0,49.0,44.0,0.0,3.0,2.0,157.7,72.0,10.66,
8.46,92.0,0.59,1.0,71.0,91.0,61.0,1.0,4.0,15.6,0.78,6.0,77.0,56.0,39.0,40.0,66.0,87.0,71.0,1.0,1.0,0.0,1.2,36.0,8.64,62.51
8.06,68.0,0.75,0.0,42.0,50.0,70.0,0.0,2.0,14.1,0.78,4.0,54.0,92.0,41.0,72.0,54.0,78.0,98.0,,7.0,8.0,151.1,34.0,3.27,35.88
5.92,93.0,1.62,0.0,91.0,73.0,35.0,2.0,2.0,16.8,0.52,6.0,54.0,49.0,75.0,91.0,54.0,86.0,64.0,0.0,6.0,10.0,111.8,58.0,10.7,51.17
7.15,79.0,1.19,1.0,86.0,63.0,56.0,5.0,1.0,4.4,0.86,7.0,96.0,46.0,59.0,94.0,88.0,45.0,68.0,0.0,4.0,4.0,132.6,23.0,7.84,57.58
6.69,74.0,1.96,,74.0,77.0,49.0,5.0,2.0,10.4,0.39,2.0,87.0,98.0,61.0,53.0,62.0,37.0,52.0,1.0,2.0,1.0,136.0,36.0,11.46,35.99
,56.0,1.8,0.0,91.0,45.0,54.0,4.0,,4.9,0.89,5.0,79.0,60.0,76.0,,93.0,96.0,97.0,0.0,7.0,7.0,44.2,30.0,11.78,
9.88,93.0,2.19,0.0,53.0,89.0,95.0,4.0,0.0,14.8,0.24,1.0,90.0,99.0,92.0,86.0,85.0,48.0,83.0,1.0,1.0,11.0,192.5,31.0,0.54,85.66
7.27,60.0,1.88,1.0,87.0,47.0,38.0,0.0,0.0,0.1,0.28,7.0,59.0,74.0,55.0,82.0,79.0,96.0,90.0,1.0,4.0,9.0,138.9,51.0,1.88,28.46
9.51,71.0,1.36,1.0,70.0,86.0,82.0,3.0,0.0,10.2,0.05,2.0,54.0,91.0,32.0,95.0,53.0,65.0,92.0,1.0,2.0,9.0,67.5,46.0,6.79,51.45
8.34,79.0,1.85,1.0,70.0,65.0,90.0,2.0,4.0,6.1,0.8,5.0,74.0,87.0,52.0,97.0,72.0,89.0,61.0,0.0,7.0,3.0,234.3,63.0,11.49,70.3
9.08,82.0,1.05,0.0,,79.0,67.0,0.0,0.0,5.8,0.42,2.0,45.0,82.0,79.0,80.0,70.0,65.0,89.0,0.0,7.0,10.0,3.2,62.0,11.93,
7.76,56.0,,0.0,99.0,85.0,32.0,3.0,1.0,11.6,0.23,5.0,69.0,89.0,65.0,56.0,70.0,40.0,53.0,1.0,5.0,9.0,181.5,68.0,7.03,
8.1,89.0,2.08,0.0,63.0,84.0,99.0,4.0,4.0,15.3,0.23,4.0,96.0,95.0,42.0,43.0,55.0,80.0,57.0,1.0,3.0,11.0,95.3,92.0,2.5,76.27
7.72,91.0,1.39,1.0,91.0,47.0,84.0,5.0,4.0,11.0,0.9,0.0,47.0,86.0,58.0,91.0,73.0,84.0,81.0,1.0,4.0,6.0,,62.0,2.38,
6.38,59.0,2.1,0.0,62.0,69.0,30.0,1.0,4.0,15.4,0.83,3.0,70.0,68.0,67.0,90.0,96.0,83.0,85.0,0.0,7.0,4.0,72.9,22.0,9.28,41.92
8.75,55.0,2.14,0.0,57.0,89.0,99.0,5.0,2.0,4.8,0.55,7.0,87.0,95.0,34.0,78.0,80.0,46.0,62.0,0.0,5.0,2.0,80.3,48.0,7.31,59.15
6.76,94.0,2.22,1.0,89.0,82.0,74.0,2.0,2.0,9.4,0.62,2.0,86.0,74.0,49.0,40.0,68.0,91.0,91.0,0.0,6.0,9.0,3.8,54.0,6.81,56.05
5.61,66.0,2.33,0.0,93.0,89.0,76.0,2.0,2.0,8.1,0.47,3.0,71.0,81.0,43.0,80.0,87.0,71.0,92.0,1.0,6.0,7.0,182.5,67.0,5.86,52.42
8.4,90.0,1.36,1.0,53.0,99.0,,5.0,3.0,0.2,0.39,2.0,84.0,97.0,37.0,84.0,61.0,53.0,49.0,1.0,2.0,1.0,,93.0,8.84,
6.3,77.0,1.14,,89.0,64.0,43.0,5.0,1.0,10.0,0.92,4.0,97.0,,77.0,63.0,63.0,46.0,50.0,0.0,7.0,0.0,163.6,58.0,10.37,
9.73,85.0,1.66,0.0,54.0,96.0,83.0,3.0,4.0,11.9,0.13,4.0,91.0,55.0,42.0,73.0,99.0,77.0,81.0,0.0,7.0,4.0,219.5,43.0,3.98,80.89
9.79,65.0,1.24,0.0,54.0,88.0,75.0,0.0,4.0,10.7,0.42,5.0,54.0,58.0,53.0,73.0,,99.0,97.0,0.0,1.0,10.0,225.3,39.0,3.04,
9.62,64.0,1.7,1.0,45.0,89.0,60.0,4.0,2.0,13.3,0.34,2.0,57.0,67.0,94.0,63.0,64.0,36.0,46.0,1.0,7.0,3.0,139.1,34.0,8.21,38.96
7.17,57.0,1.91,0.0,66.0,78.0,88.0,3.0,4.0,10.3,0.5,4.0,52.0,97.0,63.0,,68.0,43.0,77.0,0.0,3.0,10.0,171.2,95.0,11.02,
5.57,68.0,,0.0,54.0,65.0,58.0,,4.0,1.2,0.46,4.0,63.0,60.0,80.0,54.0,77.0,40.0,63.0,0.0,2.0,9.0,2.7,37.0,4.5,
9.68,70.0,1.25,1.0,89.0,99.0,46.0,5.0,0.0,2.1,0.52,2.0,79.0,94.0,32.0,56.0,89.0,41.0,83.0,0.0,4.0,6.0,211.6,79.0,3.63,63.2
7.43,64.0,0.83,0.0,75.0,92.0,43.0,,4.0,10.7,0.14,5.0,53.0,65.0,87.0,52.0,90.0,34.0,37.0,0.0,7.0,8.0,204.1,60.0,3.1,
9.85,83.0,1.36,0.0,94.0,67.0,65.0,1.0,3.0,4.9,0.51,5.0,67.0,99.0,84.0,46.0,54.0,34.0,,1.0,3.0,5.0,5.1,88.0,3.43,
9.84,64.0,0.79,0.0,47.0,50.0,87.0,3.0,2.0,1.4,0.24,5.0,50.0,99.0,71.0,48.0,54.0,49.0,60.0,1.0,7.0,10.0,135.7,94.0,2.05,39.91
9.34,66.0,2.28,0.0,54.0,95.0,53.0,4.0,1.0,7.7,0.18,5.0,45.0,48.0,50.0,83.0,55.0,83.0,81.0,1.0,5.0,0.0,226.7,30.0,7.36,35.96
6.83,84.0,1.19,0.0,42.0,97.0,92.0,2.0,1.0,10.0,0.06,0.0,95.0,77.0,39.0,74.0,72.0,84.0,76.0,1.0,3.0,7.0,45.3,75.0,3.73,46.78
7.23,55.0,0.81,0.0,86.0,57.0,54.0,0.0,0.0,5.9,0.76,2.0,64.0,98.0,86.0,62.0,52.0,87.0,65.0,0.0,5.0,1.0,88.2,37.0,7.57,24.19
9.33,59.0,0.55,0.0,52.0,93.0,88.0,2.0,1.0,13.0,0.43,6.0,40.0,91.0,54.0,93.0,86.0,59.0,56.0,1.0,2.0,3.0,82.8,31.0,1.45,58.61
6.93,74.0,1.79,0.0,80.0,67.0,61.0,4.0,1.0,11.6,0.63,0.0,64.0,58.0,85.0,86.0,82.0,53.0,51.0,1.0,7.0,2.0,89.0,35.0,1.83,41.07
6.26,62.0,1.77,0.0,73.0,53.0,47.0,2.0,2.0,6.0,0.73,4.0,41.0,63.0,67.0,78.0,92.0,32.0,54.0,1.0,1.0,5.0,10.5,46.0,6.67,17.16
8.01,66.0,1.18,0.0,63.0,61.0,66.0,5.0,2.0,13.6,0.68,0.0,71.0,49.0,90.0,62.0,70.0,77.0,42.0,0.0,6.0,1.0,69.8,36.0,,
9.71,55.0,,0.0,79.0,46.0,55.0,5.0,3.0,11.7,0.47,7.0,52.0,80.0,76.0,65.0,69.0,51.0,83.0,1.0,3.0,4.0,73.7,50.0,3.62,
8.63,74.0,1.32,0.0,71.0,63.0,38.0,3.0,0.0,11.5,0.39,6.0,72.0,75.0,83.0,40.0,50.0,43.0,72.0,1.0,1.0,10.0,216.5,54.0,10.01,36.69
8.07,82.0,1.12,0.0,71.0,,93.0,1.0,1.0,10.0,0.38,6.0,71.0,89.0,75.0,53.0,88.0,77.0,87.0,0.0,1.0,8.0,88.0,46.0,2.65,
5.94,91.0,1.85,0.0,69.0,51.0,49.0,4.0,3.0,,0.64,6.0,95.0,62.0,97.0,71.0,96.0,58.0,62.0,0.0,6.0,2.0,111.8,51.0,4.65,
8.27,91.0,1.71,0.0,91.0,98.0,83.0,4.0,0.0,12.5,0.49,5.0,63.0,88.0,33.0,90.0,66.0,79.0,63.0,1.0,3.0,1.0,95.2,36.0,6.89,71.77
9.96,66.0,1.23,1.0,88.0,86.0,59.0,2.0,1.0,6.8,0.85,4.0,66.0,75.0,95.0,87.0,78.0,39.0,45.0,1.0,7.0,,30.2,30.0,10.47,
6.13,91.0,0.94,0.0,52.0,86.0,82.0,3.0,1.0,17.0,0.87,0.0,43.0,99.0,72.0,49.0,57.0,56.0,81.0,0.0,3.0,8.0,247.6,20.0,5.31,43.96
7.83,82.0,2.48,1.0,40.0,64.0,92.0,2.0,2.0,14.7,0.17,0.0,63.0,74.0,91.0,40.0,75.0,57.0,79.0,0.0,1.0,5.0,206.5,68.0,5.08,37.01
9.45,69.0,1.41,1.0,73.0,53.0,40.0,2.0,4.0,10.6,0.14,7.0,62.0,65.0,33.0,44.0,77.0,38.0,52.0,0.0,4.0,1.0,135.2,60.0,7.16,35.35
8.83,60.0,1.88,0.0,54.0,61.0,60.0,4.0,0.0,4.5,0.63,2.0,68.0,91.0,94.0,42.0,83.0,55.0,84.0,0.0,4.0,2.0,119.1,39.0,4.14,34.58
8.64,74.0,0.78,0.0,83.0,71.0,78.0,2.0,1.0,3.7,0.3,0.0,73.0,74.0,91.0,88.0,75.0,37.0,83.0,1.0,3.0,0.0,,90.0,8.66,
8.66,68.0,1.47,0.0,53.0,91.0,48.0,1.0,0.0,6.1,0.02,7.0,60.0,99.0,31.0,89.0,62.0,31.0,56.0,,1.0,1.0,81.6,56.0,3.36,27.94
7.12,56.0,0.56,1.0,96.0,46.0,41.0,2.0,3.0,8.6,0.89,,,85.0,,97.0,93.0,86.0,79.0,0.0,1.0,,12.6,35.0,9.97,
6.82,63.0,1.51,0.0,68.0,80.0,44.0,1.0,3.0,5.3,0.23,5.0,65.0,48.0,86.0,92.0,86.0,81.0,95.0,1.0,2.0,10.0,101.1,58.0,3.63,46.34
