name,gender,age,class,embarked,country,ticketno,fare,survived
"Dean, Master. Bertram Vere",male,1.0,3rd,S,England,2315.0,20.1106,1
"Dean, Miss. Elizabeth Gladys 'Millvina'",female,0.1666666667,3rd,S,England,2315.0,20.1106,1
"Dean, Mr. Bertram Frank",male,25.0,3rd,S,England,2315.0,20.1106,0
"Dean, Mrs. Eva Georgetta",female,32.0,3rd,S,England,2315.0,20.1106,1
"Delalic, Mr. Redjo",male,25.0,3rd,S,Bosnia,349250.0,7.1711,0
"Del Carlo, Mrs. Argene",female,24.0,2nd,C,Italy,2167.0,27.1405,1
"Del Carlo, Mr. Sebastiano",male,29.0,2nd,C,Italy,2167.0,27.1405,0
"De Messemaeker, Mr. Guillaume Joseph",male,36.0,3rd,S,United States,345572.0,17.08,1
"De Messemaeker, Mrs. Anna",female,36.0,3rd,S,United States,345572.0,17.08,1
"De Mulder, Mr. Theodoor",male,30.0,3rd,S,Belgium,345774.0,9.1,1
"Denbuoy, Mr. Albert Joseph",male,25.0,2nd,S,Channel Islands,31029.0,31.1,0
"Denkoff, Mr. Mitto",male,30.0,3rd,S,,349225.0,7.1711,0
"Dennis, Mr. Samuel",male,22.0,3rd,S,England,21172.0,7.05,0
"Dennis, Mr. William",male,26.0,3rd,S,England,21175.0,7.05,0
"De Pelsmaeker, Mr. Alfons",male,16.0,3rd,S,Belgium,345778.0,9.1,0
"Devaney, Miss. Margaret Delia",female,19.0,3rd,Q,Ireland,330958.0,7.1707,1
"Dibden, Mr. William",male,18.0,2nd,S,England,14879.0,73.1,0
"Dick, Mr. Albert Adrian",male,31.0,1st,S,Canada,17474.0,57.0,1
"Dick, Mrs. Vera",female,17.0,1st,S,United States,17474.0,57.0,1
"Dika, Mr. Mirko",male,17.0,3rd,S,Croatia (Modern),349232.0,7.1711,0
"Dimic, Mr. Jovan",male,42.0,3rd,S,Hungary,315088.0,8.1303,0
"Dintcheff, Mr. Valtcho",male,43.0,3rd,S,,349226.0,7.1711,0
"Dodge, Dr. Washington",male,52.0,1st,S,United States,33638.0,81.1702,1
"Dodge, Master. Washington",male,4.0,1st,S,United States,33638.0,81.1702,1
"Dodge, Mrs. Ruth",female,34.0,1st,S,United States,33638.0,81.1702,1
"Doling, Miss. Elsie",female,18.0,2nd,S,England,231919.0,23.0,1
"Doling, Mrs. Ada Julia Elizabeth",female,34.0,2nd,S,England,231919.0,23.0,1
"Donohoe, Miss. Bridget",female,21.0,3rd,Q,Ireland,364856.0,7.15,0
"Dooly, Mr. Patrick",male,37.0,3rd,Q,Ireland,370376.0,7.15,0
"Dorking, Mr. Edward Arthur",male,18.0,3rd,S,England,10482.0,8.01,1
"Dougherty, Mr. William John",male,22.0,3rd,Q,Ireland,330877.0,8.0902,0
"Douglas, Mrs. Mahala",female,48.0,1st,C,United States,17761.0,106.0806,1
"Douglas, Mrs. Mary Hélène",female,27.0,1st,C,Canada,17558.0,247.1005,1
"Douglas, Mr. Walter Donald",male,50.0,1st,C,United States,17761.0,106.0806,0
"Douton, Mr. William Joseph",male,55.0,2nd,S,England,28403.0,26.0,0
"Dowdell, Miss. Elizabeth",female,31.0,3rd,S,United States,364516.0,12.0906,1
"Doyle, Miss. Elizabeth",female,28.0,3rd,Q,Ireland,368702.0,7.15,0
"Drazenovic, Mr. Jozef",male,33.0,3rd,C,Croatia (Modern),349241.0,7.1711,0
"Drew, Master. Marshall Brines",male,8.0,2nd,S,United States,28220.0,32.1,1
"Drew, Mr. James Vivian",male,42.0,2nd,S,England,28220.0,32.1,0
"Drew, Mrs. Maria Louisa Thorne",female,34.0,2nd,S,United States,28220.0,32.1,1
"Driscoll, Miss. Bridget",female,27.0,3rd,Q,Ireland,14311.0,7.15,1
"Dropkin, Miss. Jennie",female,24.0,3rd,S,England,392083.0,8.01,1
"Duff Gordon, Lucy Christiana, Lady",female,48.0,1st,C,England,17485.0,56.1807,1
"Duff Gordon, Sir. Cosmo Edmund",male,49.0,1st,C,England,11755.0,39.12,1
"Dulles, Mr. William Crothers",male,39.0,1st,C,United States,17580.0,29.14,0
"Duquemin, Mr. Joseph Pierre",male,24.0,3rd,S,Channel Islands,752.0,7.11,1
"Durán i Moné, Sra. Asuncion",female,27.0,2nd,C,Spain,2149.0,13.1702,1
"Durán i Moné, Sra. Florentina",female,30.0,2nd,C,Spain,2148.0,13.1702,1
"Dwan, Mr. Frank",male,65.0,3rd,Q,Ireland,336439.0,7.15,0
"Dyker, Mr. Adolf Fredrik",male,23.0,3rd,S,United States,347072.0,13.18,0
"Dyker, Mrs. Anna Elisabeth Judith",female,22.0,3rd,S,United States,347072.0,13.18,1
"Earnshaw, Mrs. Olive",female,23.0,1st,C,United States,11767.0,83.0302,1
"Edvardsson, Mr. Gustaf Hjalmar",male,18.0,3rd,S,Sweden,349912.0,7.1506,0
"Eitemiller, Mr. George Floyd",male,25.0,2nd,S,United States,29751.0,13.0,0
"Eklund, Mr. Hans Linus",male,16.0,3rd,S,Sweden,347074.0,7.1506,0
"Ekström, Mr. Amandus",male,45.0,3rd,S,Sweden,347061.0,6.1906,0
"Elias, Mr. Dibo",male,29.0,3rd,C,,2674.0,7.0406,0
"Elias, Mr. Joseph jr.",male,15.0,3rd,C,Lebanon,2690.0,7.0407,0
"Elias Nasrallah, Mr. Tannous",male,22.0,3rd,C,Lebanon,2695.0,7.0407,0
"Elsbury, Mr. William James",male,48.0,3rd,S,England,3902.0,7.05,0
"Emanuel, Miss. Virginia Ethel",female,5.0,3rd,S,United States,364516.0,12.0906,1
"Enander, Mr. Ingvar",male,21.0,2nd,S,Sweden,236854.0,13.0,0
"Endres, Miss. Caroline Louise",female,39.0,1st,C,United States,17757.0,247.1006,1
"Estanislau, Mr. Manuel Gonçalves",male,37.0,3rd,S,,3101306.0,7.01,0
"Eustis, Miss. Elizabeth Mussey",female,54.0,1st,C,United States,36947.0,78.0504,1
"Evans, Miss. Edith Corse",female,36.0,1st,C,United States,17531.0,31.1307,0
"Everett, Mr. Thomas James",male,38.0,3rd,S,England,6212.0,15.02,0
"Fahlstrøm, Mr. Arne Joma",male,18.0,2nd,S,Norway,236171.0,13.0,0
"Fardon, Mr. Charles Richard",male,46.0,3rd,S,England,3101314.0,7.05,0
"Farrell, Mr. James",male,26.0,3rd,Q,Ireland,367232.0,7.15,0
"Farthing, Mr. John",male,49.0,1st,S,England,17483.0,221.1507,0
"Faunthorpe, Mr. Harry Bartram",male,32.0,2nd,S,England,2926.0,26.0,0
"Fillbrook, Mr. Joseph Charles",male,18.0,2nd,S,England,15185.0,10.1,0
"Finoli, Mr. Luigi",male,34.0,3rd,S,,3101308.0,7.01,1
"Fischer, Mr. Eberhard Thelander",male,18.0,3rd,S,Sweden,350036.0,7.1511,0
"Flegenheim, Mrs. Antoinette",female,48.0,1st,C,United States,17598.0,31.1308,1
"Fleming, Miss. Honor",female,22.0,3rd,Q,Ireland,364859.0,7.15,0
"Fleming, Miss. Margaret",female,42.0,1st,C,United States,17421.0,110.1708,1
"Flynn, Mr. James",male,28.0,3rd,Q,Ireland,364851.0,7.15,0
"Flynn, Mr. John",male,48.0,3rd,Q,Ireland,368323.0,6.19,0
"Flynn, Mr. John Irwin",male,36.0,1st,S,Canada,14474.0,26.0509,1
"Foley, Mr. Joseph",male,19.0,3rd,Q,Ireland,330910.0,7.1707,0
"Foley, Mr. William",male,20.0,3rd,Q,Ireland,365235.0,7.15,0
"Foo, Mr. Choong",male,32.0,3rd,S,,1601.0,56.0911,1
"Ford, Miss. Dollina Margaret",female,20.0,3rd,S,England,6608.0,34.0706,0
"Ford, Miss. Robina Maggie",female,7.0,3rd,S,England,6608.0,34.0706,0
"Ford, Mr. Arthur",male,23.0,3rd,S,England,1478.0,8.01,0
"Ford, Mr. Edward Watson",male,18.0,3rd,S,England,6608.0,34.0706,0
"Ford, Mrs. Margaret Ann Watson",female,54.0,3rd,S,Scotland,6608.0,34.0706,0
"Ford, Mr. William Neal Thomas",male,14.0,3rd,S,England,6608.0,34.0706,0
"Foreman, Mr. Benjamin Laventall",male,30.0,1st,S,United States,113051.0,27.15,0
"Fortune, Miss. Alice Elizabeth",female,24.0,1st,S,Canada,19950.0,263.0,1
"Fortune, Miss. Ethel Flora",female,28.0,1st,S,Canada,19950.0,263.0,1
"Fortune, Miss. Mabel Helen",female,23.0,1st,S,Canada,19950.0,263.0,1
"Fortune, Mr. Charles Alexander",male,19.0,1st,S,Canada,19950.0,263.0,0
"Fortune, Mr. Mark",male,64.0,1st,S,Canada,19950.0,263.0,0
"Fortune, Mrs. Mary",female,60.0,1st,S,Canada,19950.0,263.0,1
"Fox, Mr. Patrick",male,28.0,3rd,Q,Ireland,368573.0,7.15,0
"Fox, Mr. Stanley Harrington",male,38.0,2nd,S,United States,229236.0,13.0,0
"Francatelli, Miss. Laura Mabel",female,32.0,1st,C,England,17485.0,56.1807,1
"Franklin, Mr. Thomas Parnham",male,37.0,1st,S,England,113778.0,26.11,0
"Frauenthal, Dr. Henry William",male,49.0,1st,S,United States,17611.0,133.13,1
"Frauenthal, Mr. Isaac Gerald",male,43.0,1st,C,United States,17765.0,27.1405,1
"Frauenthal, Mrs. Clara",female,42.0,1st,S,United States,17611.0,133.13,1
"Frölicher, Miss. Hedwig Margaritha",female,22.0,1st,C,Switzerland,13568.0,49.1,1
"Frölicher-Stehli, Mr. Maximilian Josef",male,60.0,1st,C,Switzerland,13567.0,79.04,1
"Frölicher-Stehli, Mrs. Margaretha Emerentia",female,48.0,1st,C,Switzerland,13567.0,79.04,1
"Frost, Mr. Anthony Wood",male,39.0,2nd,B,England,239854.0,,0
"Fry, Mr. Richard",male,39.0,1st,S,England,112058.0,,0
"Funk, Miss. Annie Clemmer",female,38.0,2nd,S,India,237671.0,13.0,0
"Futrelle, Mr. Jacques Heath",male,37.0,1st,S,England,113803.0,53.02,0
"Futrelle, Mrs. Lily May",female,35.0,1st,S,England,113803.0,53.02,1
"Fynney, Mr. Joseph J.",male,36.0,2nd,S,England,239865.0,26.0,0
"Gale, Mr. Harry",male,38.0,2nd,S,England,28664.0,21.0,0
"Gale, Mr. Shadrach",male,33.0,2nd,S,England,28664.0,21.0,0
"Gallagher, Mr. Martin",male,29.0,3rd,Q,Ireland,36864.0,7.141,0
"Garfirth, Mr. John",male,23.0,3rd,S,England,358585.0,14.1,0
"Garside, Miss. Ethel",female,39.0,2nd,S,England,243880.0,13.0,1
"Gaskell, Mr. William Alfred",male,19.0,2nd,S,England,239865.0,26.0,0
"Gavey, Mr. Laurence",male,26.0,2nd,S,Channel Islands,31028.0,10.1,0
"Gee, Mr. Arthur H.",male,47.0,1st,S,England,111320.0,38.1,0
"George/Joseph, Mrs. Shawneene",female,38.0,3rd,C,United States,2688.0,7.0407,1
"Gerios Thamah, Mr. Assaf",male,21.0,3rd,C,Lebanon,2692.0,7.0406,0
"Gheorgheff, Mr. Stanio",male,,3rd,C,Bulgaria,349254.0,7.1711,0
"Gibson, Miss. Dorothy Winifred",female,22.0,1st,C,United States,112378.0,59.08,1
"Gibson, Mrs. Pauline Caroline",female,44.0,1st,C,United States,112378.0,59.08,1
"Gieger, Miss. Amalie",female,35.0,1st,S,,113503.0,211.1,1
"Giglio, Mr. Victor Gaitan Andrea",male,23.0,1st,C,,17593.0,79.04,0
"Gilbert, Mr. William",male,47.0,2nd,S,England,30769.0,10.1,0
"Giles, Mr. Edgar",male,19.0,2nd,S,England,28133.0,11.1,0
"Giles, Mr. Frederick Edward",male,21.0,2nd,S,England,28134.0,11.1,0
"Giles, Mr. Ralph",male,24.0,2nd,S,England,248726.0,13.1,0
"Gilinski, Mr. Eliezer",male,23.0,3rd,S,Wales,14973.0,8.01,0
"Gillespie, Mr. William Henry",male,31.0,2nd,S,Ireland,12233.0,13.0,0
"Gill, Mr. John",male,24.0,2nd,S,England,233866.0,13.0,0
"Gilnagh, Miss. Katherine",female,17.0,3rd,Q,Ireland,35851.0,7.1408,1
"Givard, Mr. Hans Kristensen",male,30.0,2nd,S,Argentina,250646.0,13.0,0
"Glynn, Miss. Mary Agatha",female,18.0,3rd,Q,Ireland,335677.0,7.15,1
"Goldenberg, Mr. Samuel L.",male,47.0,1st,C,United States,17453.0,89.0201,1
"Goldenberg, Mrs. Nella",female,40.0,1st,C,United States,17453.0,89.0201,1
"Goldschmidt, Mr. George B.",male,71.0,1st,C,United States,17754.0,34.1301,0
"Goldsmith, Master. Frank John William",male,9.0,3rd,S,England,363291.0,20.1006,1
"Goldsmith, Mr. Frank John",male,33.0,3rd,S,England,363291.0,20.1006,0
"Goldsmith, Mr. Nathan",male,41.0,3rd,S,,3101263.0,7.17,0
"Goldsmith, Mrs. Emily Alice",female,31.0,3rd,S,England,363291.0,20.1006,1
"Goodwin, Master. Harold Victor",male,9.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Master. Sidney Leslie",male,1.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Master. William Frederick",male,11.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Miss. Jessie Allis",female,10.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Miss. Lillian Amy",female,16.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Mr. Charles Edward",male,14.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Mr. Frederick Joseph",male,42.0,3rd,S,England,2144.0,46.18,0
"Goodwin, Mrs. Augusta",female,43.0,3rd,S,England,2144.0,46.18,0
"Gracie, Colonel. Archibald",male,53.0,1st,S,United States,113780.0,28.1,1
"Graham, Miss. Margaret Edith",female,19.0,1st,S,England,17582.0,153.0903,1
"Graham, Mr. George Edward",male,38.0,1st,S,Canada,112053.0,30.0,0
"Graham, Mrs. Edith",female,59.0,1st,S,England,17582.0,153.0903,1
"Greenberg, Mr. Samuel",male,52.0,2nd,S,South Africa,250647.0,13.0,0
"Greenfield, Mrs. Blanche",female,45.0,1st,C,United States,17759.0,63.0702,1
"Greenfield, Mr. William Bertram",male,23.0,1st,C,United States,17759.0,63.0702,1
"Green, Mr. George",male,20.0,engineering crew,S,England,,,0
"Green, Mr. George",male,41.0,3rd,S,England,21440.0,8.01,0
"Grønnestad, Mr. Daniel Danielsen",male,32.0,3rd,S,Norway,8471.0,8.0615,0
"Guest, Mr. Charles Robert",male,25.0,3rd,S,England,376563.0,8.01,0
"Guggenheim, Mr. Benjamin",male,46.0,1st,C,France,17593.0,79.04,0
"Gustafsson, Mr. Alfred Ossian",male,19.0,3rd,S,Finland,7534.0,9.1611,0
"Gustafsson, Mr. Anders Vilhelm",male,37.0,3rd,S,Finland,3101276.0,7.1806,0
"Gustafsson, Mr. Johan Birger",male,28.0,3rd,S,Finland,3101277.0,7.1806,0
"Gustafsson, Mr. Karl Gideon",male,19.0,3rd,S,Sweden,347069.0,7.1506,0
"Haas, Miss. Aloisia",female,24.0,3rd,S,Switzerland,349236.0,8.17,0
"Hagland, Mr. Ingvald Olai Olsen",male,28.0,3rd,S,Norway,65303.0,6.1904,0
"Hagland, Mr. Konrad Mathias Reiersen",male,19.0,3rd,S,Norway,65304.0,6.1904,0
"Hakkarainen, Mr. Pekka Pietari",male,28.0,3rd,S,Finland,3101279.0,15.17,0
"Hakkarainen, Mrs. Elin Matilda",female,24.0,3rd,S,Finland,3101279.0,15.17,1
"Hale, Mr. Reginald",male,30.0,2nd,S,England,250653.0,13.0,0
"Hämäläinen, Master. Viljo Unto Johannes",male,0.5833333333,2nd,S,United States,250649.0,14.1,1
"Hämäläinen, Mrs. Anna",female,23.0,2nd,S,United States,250649.0,14.1,1
"Hampe, Mr. Léon Jérome",male,19.0,3rd,S,Belgium,345769.0,9.1,0
"Hannah, Mr. Borak",male,27.0,3rd,C,Lebanon,2663.0,7.0407,1
"Hanna, Mr. Boulos",male,18.0,3rd,C,Lebanon,2664.0,7.0406,0
"Hanna, Mr. Mansour",male,35.0,3rd,C,Lebanon,2693.0,7.0407,0
"Hansen, Mr. Claus Peter",male,41.0,3rd,S,United States,350026.0,14.0202,0
"Hansen, Mr. Henrik Juul",male,26.0,3rd,S,Denmark,350025.0,7.1701,0
"Hansen, Mr. Henry Damsgaard",male,21.0,3rd,S,Denmark,350029.0,7.1701,0
"Hansen, Mrs. Jennie Louise",female,45.0,3rd,S,United States,350026.0,14.0202,1
"Harbeck, Mr. William H.",male,45.0,2nd,S,United States,248746.0,13.0,0
"Harder, Mr. George Achilles",male,25.0,1st,C,United States,11765.0,55.081,1
"Harder, Mrs. Dorothy",female,21.0,1st,C,United States,11765.0,55.081,1
"Hargadon, Miss. Catherine",female,17.0,3rd,Q,Ireland,30631.0,7.1408,0
"Harknett, Miss. Alice Phoebe",female,21.0,3rd,S,England,6609.0,7.11,0
"Harper, Miss. Annie Jessie",female,6.0,2nd,S,Scotland,248727.0,33.0,1
"Harper, Mr. Henry Sleeper",male,48.0,1st,C,United States,17572.0,76.1407,1
"Harper, Mrs. Myra Raymond",female,49.0,1st,C,United States,17572.0,76.1407,1
"Harper, Rev. John",male,39.0,2nd,S,Scotland,248727.0,33.0,0
"Harrington, Mr. Charles Henry",male,37.0,1st,S,England,113796.0,42.08,0
"Harris, Mr. George",male,62.0,2nd,S,England,752.0,10.1,1
"Harris, Mr. Henry Birkhardt",male,45.0,1st,S,United States,36973.0,83.0906,0
"Harris, Mrs. Irene",female,35.0,1st,S,United States,36973.0,83.0906,1
"Harris, Mr. Walter",male,45.0,2nd,S,England,14208.0,10.1,0
"Harrison, Mr. William Henry",male,46.0,1st,S,England,112059.0,,0
"Hartley, Mr. Wallace Henry",male,33.0,2nd,S,England,250654.0,,0
"Hart, Miss. Eva Miriam",female,7.0,2nd,S,England,13529.0,26.05,1
"Hart, Mr. Benjamin",male,47.0,2nd,S,England,13529.0,26.05,0
"Hart, Mr. Henry",male,29.0,3rd,Q,Ireland,394140.0,6.1702,0
"Hart, Mrs. Esther Ada",female,48.0,2nd,S,England,13529.0,26.05,1
"Hassab, Mr. Hammad",male,27.0,1st,C,Egypt,17572.0,76.1407,1
"Hawksford, Mr. Walter James",male,45.0,1st,S,England,16988.0,30.0,1
"Hays, Miss. Margaret Bechstein",female,24.0,1st,C,United States,11767.0,83.0302,1
"Hays, Mr. Charles Melville",male,55.0,1st,S,Canada,12749.0,93.1,0
"Hays, Mrs. Clara Jennings",female,52.0,1st,S,Canada,12749.0,93.1,1
"Head, Mr. Christopher",male,42.0,1st,S,England,113038.0,42.1,0
"Healy, Miss. Honor",female,33.0,3rd,Q,Ireland,370375.0,7.15,1
"Hedman, Mr. Oskar Arvid",male,27.0,3rd,S,Sweden,347089.0,6.1906,1
"Hee, Mr. Ling",male,24.0,3rd,S,,1601.0,56.0911,1
"Hegarty, Miss. Hanora",female,20.0,3rd,Q,Ireland,365226.0,6.15,0
"Heikkinen, Miss. Laina",female,16.0,3rd,S,Finland,3101282.0,7.1806,1
"Heininen, Miss. Wendla Maria",female,23.0,3rd,S,Finland,3101290.0,7.1806,0
"Hellström, Miss. Hilda Maria",female,22.0,3rd,S,Sweden,7548.0,8.1903,1
"Hendekovic, Mr. Ignjac",male,30.0,3rd,S,Hungary,349243.0,7.1711,0
"Henriksson, Miss. Jenny Lovisa",female,28.0,3rd,S,Sweden,347086.0,7.1506,0
"Henry, Miss. Bridget Delia",female,21.0,3rd,Q,Ireland,382649.0,7.15,0
"Herman, Miss. Alice",female,24.0,2nd,S,England,220845.0,65.0,1
"Herman, Miss. Kate",female,24.0,2nd,S,England,220845.0,65.0,1
"Herman, Mr. Samuel",male,50.0,2nd,S,England,220845.0,65.0,0
"Herman, Mrs. Jane",female,50.0,2nd,S,India,220845.0,65.0,1
"Hewlett, Mrs. Mary Dunbar",female,56.0,2nd,S,India,248706.0,16.0,1
"Hickman, Mr. Leonard Mark",male,24.0,2nd,S,England,14879.0,73.1,0
"Hickman, Mr. Lewis",male,30.0,2nd,S,England,14879.0,73.1,0
"Hickman, Mr. Stanley George",male,21.0,2nd,S,England,14879.0,73.1,0
"Hilliard, Mr. Herbert Henry",male,44.0,1st,S,England,17463.0,51.1703,0
"Hiltunen, Miss. Marta",female,18.0,2nd,S,Finland,250650.0,13.0,0
"Hipkins, Mr. William Edward",male,55.0,1st,S,England,680.0,50.0,0
"Hippach, Miss. Jean Gertrude",female,17.0,1st,C,United States,111361.0,57.1907,1
"Hippach, Mrs. Ida Sophia",female,44.0,1st,C,United States,111361.0,57.1907,1
"Hirvonen, Miss. Hildur Elisabeth",female,2.0,3rd,S,Finland,3101298.0,12.0509,1
"Hirvonen, Mrs. Helga Elisabeth Lindqvist",female,22.0,3rd,S,Finland,3101298.0,12.0509,1
"Hocking, Miss. Ellen",female,20.0,2nd,S,England,29105.0,23.0,1
"Hocking, Mr. Richard George",male,24.0,2nd,S,England,29104.0,11.1,0
"Hocking, Mr. Samuel James Metcalfe",male,36.0,2nd,S,England,242963.0,13.0,0
"Hocking, Mrs. Eliza",female,54.0,2nd,S,England,29105.0,23.0,1
"Hodges, Mr. Henry Price",male,50.0,2nd,S,England,250643.0,13.0,0
"Hogeboom, Mrs. Anna Louisa",female,51.0,1st,C,United States,13502.0,77.1902,1
"Hold, Mrs. Annie Margaret",female,29.0,2nd,S,England,26707.0,26.0,1
"Hold, Mr. Stephen",male,44.0,2nd,S,England,26707.0,26.0,0
"Holm, Mr. John Fredrik Alexander",male,43.0,3rd,S,Sweden,7075.0,6.09,0
"Holthen, Mr. Johan Martin",male,18.0,3rd,S,Norway,4001.0,22.1006,0
"Holverson, Mr. Alexander Oskar",male,42.0,1st,S,United States,113789.0,52.0,0
"Holverson, Mrs. Mary Aline",female,35.0,1st,S,United States,113789.0,52.0,1
"Homer, Mr. Harry",male,40.0,1st,S,United States,111426.0,26.11,1
"Honkanen, Miss. Eliina",female,27.0,3rd,S,Finland,3101283.0,7.1806,1
"Hood, Mr. Ambrose Jr",male,21.0,2nd,S,England,14879.0,73.1,0
"Horgan, Mr. John",male,22.0,3rd,Q,,370377.0,7.15,0
"Hosono, Mr. Masabumi",male,41.0,2nd,S,Japan,237798.0,13.0,1
"Howard, Miss. May Elizabeth",female,26.0,3rd,S,England,39186.0,8.01,1
"Howard, Mr. Benjamin",male,63.0,2nd,S,England,24065.0,26.0,0
"Howard, Mrs. Ellen Truelove",female,61.0,2nd,S,England,24065.0,26.0,0
"Hoyt, Mr. Frederick Maxfield",male,38.0,1st,S,United States,19943.0,100.0,1
"Hoyt, Mrs. Jane Anne",female,31.0,1st,S,United States,19943.0,100.0,1
"Hoyt, Mr. William Fisher",male,43.0,1st,C,United States,17600.0,30.1311,0
"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,3rd,S,Norway,348121.0,7.13,0
"Hume, Mr. John Law",male,21.0,2nd,S,,250654.0,,0
"Hunt, Mr. George Henry",male,34.0,2nd,S,England,1585.0,12.0506,0
"Hyman, Mr. Abraham Joseph",male,34.0,3rd,S,England,3470.0,7.1709,1
"Ibrāhīm, Mr. Husayn Mahmūd Husayn",male,11.0,3rd,C,,2699.0,18.1509,0
"Ibrāhīm, Mrs. Sāfiyah",female,18.0,3rd,C,Syria,2657.0,7.0407,1
"Ibrahim Shawah, Mr. Yousseff",male,33.0,3rd,C,Lebanon,2627.0,14.0902,0
"Icard, Miss. Rose Amélie",female,39.0,1st,S,,113572.0,80.0,1
"Ilett, Miss. Bertha",female,17.0,2nd,S,Channel Islands,14885.0,10.1,1
"Ilieff, Mr. Ylio",male,32.0,3rd,S,,349220.0,7.1711,0
"Ilmakangas, Miss. Ida Livija",female,17.0,3rd,S,United States,3101270.0,7.1806,0
"Ilmakangas, Miss. Pieta Sofia",female,25.0,3rd,S,Finland,3101271.0,7.1806,0
"Isham, Miss. Ann Elizabeth",female,50.0,1st,C,United States,17595.0,28.1403,0
"Ismay, Mr. Joseph Bruce",male,49.0,1st,S,England,112058.0,,1
"Ivanoff, Mr. Kanio",male,20.0,3rd,S,Bulgaria,349201.0,7.1711,0
"Jabbur (Zabour), Miss. Hileni",female,16.0,3rd,C,,2665.0,14.0901,0
"Jabbur (Zabour), Miss. Thamine",female,19.0,3rd,C,,2665.0,14.0901,0
"Jacobsohn, Mrs. Amy Frances Christy",female,24.0,2nd,S,England,243847.0,27.0,1
"Jacobsohn, Mr. Sidney Samuel",male,42.0,2nd,S,South Africa,243847.0,27.0,0
"Jalševac, Mr. Ivan",male,30.0,3rd,C,Croatia (Modern),349240.0,7.1711,1
"Jansson, Mr. Carl Olof",male,21.0,3rd,S,Sweden,350034.0,7.1511,1
"Jardim, Mr. José Neto",male,21.0,3rd,S,,3101305.0,7.01,0
"Jarvis, Mr. Denzil John",male,46.0,2nd,S,Wales,237565.0,15.0,0
"Jefferys, Mr. Clifford Thomas",male,24.0,2nd,S,England,31029.0,31.1,0
"Jefferys, Mr. Ernest Wilfred",male,21.0,2nd,S,England,31029.0,31.1,0
"Jenkin, Mr. Stephen Curnow",male,32.0,2nd,S,England,33111.0,10.1,0
"Jensen, Mr. Hans Peder",male,20.0,3rd,S,Denmark,350050.0,7.1701,0
"Jensen, Mr. Niels Rasmus",male,48.0,3rd,S,Denmark,350048.0,7.0101,0
"Jensen, Mr. Svend Lauritz",male,17.0,3rd,S,Denmark,350047.0,7.1701,0
"Jermyn, Miss. Annie Jane",female,26.0,3rd,Q,Ireland,14313.0,7.15,1
"Jerwan, Mrs. Marie Marthe",female,23.0,2nd,C,United States,541.0,13.151,1
"Johannesen, Mr. Bernt Johannes",male,29.0,3rd,S,Norway,65306.0,8.0203,1
"Johanson, Mr. Jakob Alfred",male,34.0,3rd,S,Finland,3101264.0,6.0911,0
"Johansson, Mr. Erik",male,22.0,3rd,S,Sweden,350052.0,7.1511,0
"Johansson, Mr. Gustaf Joel",male,33.0,3rd,S,Sweden,7540.0,8.1301,0
"Johansson, Mr. Karl Johan",male,31.0,3rd,S,United States,347063.0,7.1506,0
"Johansson, Mr. Nils",male,29.0,3rd,S,United States,347467.0,7.1701,0
"Johansson Palmquist, Mr. Oskar Leander",male,26.0,3rd,S,Sweden,347070.0,7.1506,1
"Johnson, Master. Harold Theodor",male,4.0,3rd,S,,347742.0,11.0208,1
"Johnson, Miss. Eleanor Ileen",female,1.0,3rd,S,,347742.0,11.0208,1
"Johnson, Mr. August",male,49.0,3rd,S,United States,370160.0,,0
"Johnson, Mr. Malkolm Joackim",male,33.0,3rd,S,United States,347062.0,7.1506,0
"Johnson, Mrs. Elisabeth Vilhelmina",female,26.0,3rd,S,,347742.0,11.0208,1
"Johnson, Mr. William Cahoone Jr.",male,19.0,3rd,S,United States,370160.0,,0
"Johnston, Master. William Andrew",male,8.0,3rd,S,England,6607.0,23.09,0
"Johnston, Miss. Catherine Nellie",female,7.0,3rd,S,England,6607.0,23.09,0
"Johnston, Mr. Andrew Emslie",male,35.0,3rd,S,Scotland,6607.0,23.09,0
"Johnston, Mrs. Eliza",female,36.0,3rd,S,Scotland,6607.0,23.09,0
"Jones, Mr. Charles Cresson",male,46.0,1st,S,United States,694.0,26.0,0
"Jonkoff, Mr. Lalio",male,23.0,3rd,S,Bulgaria,349204.0,7.1711,0
"Jonsson, Mr. Carl",male,25.0,3rd,S,Sweden,350417.0,7.1701,1
"Jönsson, Mr. Nils Hilding",male,27.0,3rd,S,Sweden,350408.0,7.1701,0
"Joseph (Shahin), Mr. Elias",male,39.0,3rd,C,Lebanon,2675.0,7.0407,0
"Julian, Mr. Henry Forbes",male,50.0,1st,S,England,113044.0,26.0,0
"Jussila, Miss. Katriina",female,20.0,3rd,S,Finland,4136.0,9.161,0
"Jussila, Miss. Mari Aina",female,21.0,3rd,S,Finland,4137.0,9.161,0
"Jussila, Mr. Eiriik",male,32.0,3rd,S,Finland,3101286.0,7.1806,1
"Kallio, Mr. Nikolai Erland",male,17.0,3rd,S,Finland,3101274.0,7.0206,0
